epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1407.86,1.96977,1.55869,1.75766,0.86144,0.64351,0.69338,0.28398,1.96908,1.6272,2.0584,0.000581,0.000581,0.000581
45,1439.38,1.92216,1.47181,1.71811,0.85567,0.61357,0.71188,0.25853,2.01659,1.54732,2.03932,0.000548,0.000548,0.000548
46,1471.04,1.86992,1.47685,1.72283,0.75055,0.62258,0.68436,0.30052,2.11581,1.63571,2.21849,0.000515,0.000515,0.000515
47,1503.11,1.83354,1.39632,1.66526,0.86129,0.64271,0.71351,0.2847,1.97735,1.49615,2.04621,0.000482,0.000482,0.000482
48,1535.01,1.86715,1.45287,1.6637,0.82028,0.62983,0.6814,0.28712,1.95934,1.5422,2.04432,0.000449,0.000449,0.000449
49,1566.91,1.80219,1.32871,1.67556,0.75421,0.63521,0.71326,0.31939,1.94381,1.49471,2.00973,0.000416,0.000416,0.000416
50,1599.04,1.79288,1.43431,1.61172,0.80976,0.58716,0.68356,0.29397,2.07047,1.58581,2.11371,0.000383,0.000383,0.000383
51,1631.66,1.82496,1.40709,1.79528,0.73626,0.67415,0.62307,0.24437,2.09154,1.62402,2.1714,0.00035,0.00035,0.00035
52,1663.11,1.76664,1.33678,1.74076,0.85569,0.6137,0.69268,0.29578,2.01466,1.54868,2.0631,0.000317,0.000317,0.000317
53,1695.35,1.78877,1.31097,1.79141,0.77477,0.71202,0.76668,0.2903,2.11948,1.36696,2.14216,0.000284,0.000284,0.000284
54,1727.03,1.72196,1.22188,1.73638,0.82212,0.62069,0.74123,0.29438,2.12317,1.44768,2.11455,0.000251,0.000251,0.000251
55,1758.81,1.66701,1.14856,1.69474,0.90422,0.65127,0.72362,0.27771,2.02388,1.46163,2.0135,0.000218,0.000218,0.000218
56,1790.98,1.61945,1.15697,1.65067,0.83712,0.68966,0.70355,0.29556,2.04802,1.47057,2.06154,0.000185,0.000185,0.000185
57,1822.48,1.69071,1.18016,1.68241,0.79478,0.72414,0.72157,0.29359,2.06667,1.41514,2.13931,0.000152,0.000152,0.000152
58,1854.05,1.64527,1.15487,1.68961,0.84925,0.65517,0.73452,0.31176,2.07422,1.40297,2.12086,0.000119,0.000119,0.000119
59,1885.94,1.64974,1.13832,1.66373,0.81896,0.65517,0.73665,0.30609,2.07069,1.42489,2.12493,8.6e-05,8.6e-05,8.6e-05
60,1917.53,1.65579,1.15383,1.72137,0.82252,0.65517,0.73053,0.30799,2.04713,1.43777,2.11899,5.3e-05,5.3e-05,5.3e-05
