epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,432.587,1.92735,1.40101,1.61283,0.62145,0.35241,0.4604,0.19081,2.32136,1.9438,2.18566,0.000548,0.000548,0.000548
46,442.557,2.03477,1.34933,1.69409,0.94123,0.28571,0.48881,0.21126,2.28338,1.98395,2.13633,0.000515,0.000515,0.000515
47,452.343,1.95016,1.33886,1.73586,0.47125,0.57143,0.52119,0.20343,2.20551,1.93065,2.09656,0.000482,0.000482,0.000482
48,461.893,1.90034,1.44416,1.64637,0.40121,0.57143,0.50067,0.20402,2.3034,1.9208,2.17733,0.000449,0.000449,0.000449
49,470.999,2.0177,1.49318,1.77002,0.40899,0.57143,0.50564,0.22744,2.21805,1.85072,2.12163,0.000416,0.000416,0.000416
50,480.797,1.74646,1.23659,1.59983,0.49286,0.57143,0.54518,0.21013,2.21826,1.76268,2.14264,0.000383,0.000383,0.000383
51,491.9,1.85641,1.26295,1.68976,0.56859,0.64286,0.5633,0.21917,2.27305,2.03583,2.19556,0.00035,0.00035,0.00035
52,501.246,1.77944,1.19112,1.62197,0.53438,0.64286,0.57825,0.21287,2.23006,1.75507,2.13343,0.000317,0.000317,0.000317
53,510.367,1.741,1.09521,1.62351,0.54829,0.71429,0.57986,0.2254,2.24265,1.69938,2.12499,0.000284,0.000284,0.000284
54,520.068,1.77838,1.09567,1.65074,0.48932,0.71429,0.52985,0.20287,2.25418,1.75899,2.19956,0.000251,0.000251,0.000251
55,529.628,1.87251,1.14394,1.73554,0.49044,0.71429,0.48652,0.18877,2.27832,1.76609,2.26447,0.000218,0.000218,0.000218
56,538.626,1.78308,1.1802,1.69884,0.47489,0.64286,0.5135,0.20535,2.27049,1.93325,2.28565,0.000185,0.000185,0.000185
57,547.891,1.81474,1.16118,1.69759,0.39301,0.64286,0.47896,0.18736,2.18798,1.8823,2.20849,0.000152,0.000152,0.000152
58,557.426,1.76043,1.14337,1.51079,0.40238,0.64286,0.47092,0.18413,2.15616,1.89199,2.17552,0.000119,0.000119,0.000119
59,566.955,1.75878,1.07977,1.628,0.44063,0.64286,0.46217,0.17827,2.17955,1.9072,2.17893,8.6e-05,8.6e-05,8.6e-05
60,576.689,1.72078,1.11521,1.66138,0.38982,0.64286,0.46204,0.17105,2.21954,1.99433,2.20028,5.3e-05,5.3e-05,5.3e-05
