epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1652.65,1.66263,1.16775,1.57003,0.81219,0.65179,0.72704,0.32626,2.06495,1.39146,2.11097,0.000581,0.000581,0.000581
45,1690.16,1.67007,1.13593,1.51214,0.79645,0.59821,0.71099,0.31003,2.12148,1.30918,2.12911,0.000548,0.000548,0.000548
46,1727.48,1.63741,1.11955,1.50895,0.79706,0.625,0.6935,0.27451,2.20065,1.41289,2.20446,0.000515,0.000515,0.000515
47,1765.34,1.67658,1.12971,1.57761,0.80254,0.6895,0.7223,0.30149,2.09355,1.35948,2.1532,0.000482,0.000482,0.000482
48,1802.52,1.61643,1.09104,1.5382,0.72964,0.6747,0.7184,0.3054,2.07597,1.3844,2.08002,0.000449,0.000449,0.000449
49,1839.73,1.59388,1.03984,1.49361,0.67611,0.72321,0.72423,0.30295,2.11483,1.38948,2.15062,0.000416,0.000416,0.000416
50,1876.77,1.60836,1.03976,1.55042,0.75845,0.72895,0.74026,0.30823,2.10585,1.32759,2.13594,0.000383,0.000383,0.000383
51,1915.53,1.55493,1.0023,1.56012,0.83843,0.65179,0.73585,0.30072,2.10438,1.40864,2.14965,0.00035,0.00035,0.00035
52,1952.32,1.58222,0.97183,1.59538,0.7685,0.65179,0.71009,0.30399,2.06665,1.36385,2.10449,0.000317,0.000317,0.000317
53,1989.17,1.52541,0.95728,1.61056,0.76798,0.67973,0.7431,0.31524,2.07929,1.27376,2.12166,0.000284,0.000284,0.000284
54,2025.96,1.49663,0.90259,1.55715,0.76183,0.67857,0.73678,0.32745,2.01176,1.29943,2.067,0.000251,0.000251,0.000251
55,2063.15,1.43,0.87987,1.50499,0.72694,0.67857,0.69294,0.3059,2.06998,1.3651,2.13138,0.000218,0.000218,0.000218
56,2100.95,1.44743,0.87174,1.53385,0.72111,0.69643,0.72469,0.31472,2.06993,1.26312,2.10051,0.000185,0.000185,0.000185
57,2137.97,1.41752,0.84338,1.50493,0.78973,0.67857,0.72804,0.31,2.12197,1.30582,2.1516,0.000152,0.000152,0.000152
58,2175.08,1.41849,0.84941,1.48677,0.79781,0.64286,0.73471,0.31797,2.1477,1.31711,2.20962,0.000119,0.000119,0.000119
59,2212.64,1.40826,0.81076,1.50206,0.73696,0.66964,0.7338,0.31806,2.09934,1.29915,2.14803,8.6e-05,8.6e-05,8.6e-05
60,2249.66,1.3747,0.81156,1.48967,0.74721,0.6875,0.7344,0.3149,2.11442,1.33292,2.16741,5.3e-05,5.3e-05,5.3e-05
